Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
437;492;Ulaş Gıda Un Tekstil Nakliye Tic. ve San. A.Ş.;2023;3.383.000.240;425;5.193.114.394;319;308;203.310.683;476;463;1.137.711.473;429;416;2.540.094.613;451;438;147.191.601;339;329;159.184.450;474;462;123.296;177;174;163;486;473;Lüleburgaz Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.kavukcugrubu.com;Kırklareli;Lüleburgaz;Yeni Mah. Eski İstanbul Cad. No.7/1;(288) 4362720;-;info@kavukcugrubu.com;39780
438;412;Essel Selüloz ve Kağıt San. Tic. A.Ş.;2023;3.378.435.487;426;3.385.155.510;456;444;957.043.532;348;336;3.359.460.615;258;245;5.755.623.070;300;288;-193.089.910;431;419;626.875.818;364;353;74.180;258;254;502;370;357;Kocaeli Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.essel.com.tr;Kocaeli;Başiskele;Sanayi Mah. Kozalı Sok. Çarşı Yapı A-31;(262) 3233361;(262) 3236162;essel@essel.com.tr;41040
439;477;As Ofis Damızlık Yumurta Yem Gıda San. ve Tic. A.Ş.;2023;3.378.006.001;427;4.326.172.135;378;367;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.asofis.com.tr;Ankara;Çankaya;Sögütözü Mah. 1276 Cad. No.9/9 Çankaya/Ankara;(312) 3424214;(312) 3845100;info@asofis.com.tr;06060
440;304;Çalık Denim Tekstil San. ve Tic. A.Ş.;2023;3.377.895.840;428;3.626.082.910;434;422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.calikdenim.com;İstanbul;Güngören;Keresteciler Sitesi Fatih Cad. Ladin Sok. No.17 Merter;(212) 4592626;(422) 3776100;info@calikdenim.com;34169
441;-;Humanis Sağlık A.Ş.;2023;3.358.874.774;429;3.410.286.661;452;440;-;-;-;2.932.191.958;287;274;5.914.594.643;294;282;-;-;-;-;-;-;5.451;429;422;1.042;233;221;Çerkezköy Ticaret ve Sanayi Odası;-;100,00;-;-;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.humanis.life;Tekirdağ;Çerkezköy;Çerkezköy Organize Sanayi Bölgesi Karaağaç Mah. Fatih Bulvarı No.32;(212) 6045500;-;info@humanis.life;59510
442;-;Pilyem Gıda Tarım San. ve Tic. A.Ş.;2023;3.357.555.646;430;3.820.542.836;414;403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Adana Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.pilyem.com.tr;Adana;Seyhan;Sarıhamzalı Mah. 47083 Sok. No.47;(322) 4453197;(322) 4453198;muhasebe@pilyem.com.tr;01110
443;420;Ortadoğu Rulman San. ve Tic. A.Ş.;2023;3.349.473.206;431;3.353.646.845;458;446;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.ors.com.tr;Ankara;Polatlı;Kuşçu Mah. Beyceğiz Yolu Küme Evleri (Eskişehir Yolu 65. km) No.76;(312) 6480010;(312) 2898900;muhasebe@ors.com.tr;06900
444;471;Alp Havacılık San. ve Tic. A.Ş.;2023;3.347.429.856;432;3.347.429.856;461;449;2.161.637.087;168;159;5.358.632.663;176;166;10.338.832.453;176;168;611.778.032;212;205;2.102.995.453;131;128;119.567;179;176;1.310;183;172;Eskişehir Sanayi Odası;-;50,00;50,00;-;Diğer ulaşım araçlarının imalatı;30;Taşıt Araçları Sanayi;384;www.alp.com.tr;Eskişehir;Odunpazarı;Organize Sanayi Bölgesi 8.Cad.;(222) 2361300;(222) 2117039;alphavacilik@alp.com.tr;26110
445;-;Traçim Çimento San. ve Tic. A.Ş.;2023;3.322.139.855;433;3.322.606.105;464;452;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.tracim.com.tr;İstanbul;Sarıyer;Huzur Mah. Maslak Ayazağa Cad. No.4-I;(212) 3155332;-;bilgi@tracim.com.tr;34381
446;395;ÇİMTAŞ Çelik İmalat Montaj ve Tesisat A.Ş.;2023;3.304.213.844;434;3.503.918.063;445;433;1.369.920.645;260;248;7.076.984.698;142;135;7.812.028.911;242;232;1.634.882.382;95;89;909.379.992;276;268;109.441;199;196;878;268;255;İstanbul Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.cimtas.com.tr;İstanbul;Beşiktaş;Balmumcu Mah. Zincirlikuyu Yolu No.10;(212) 3403535;(224) 5190250;muhasebe@cimtas.com;34349
447;-;Daxler Enerji A.Ş.;2023;3.304.074.754;435;3.350.309.483;460;448;-;-;-;775.714.639;469;456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Konya Sanayi Odası;-;100,00;-;-;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.daxlerenergy.com;Konya;Selçuklu;Büyükkayacık OSB Mah. 102. Cad. No.3/1;(000) 4449577;-;info@daxlerenergy.com;42250
448;457;Bak Ambalaj San. ve Tic. A.Ş.;2023;3.289.319.784;436;3.333.770.912;463;451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;51,41;-;48,59;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.bakambalaj.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10002 Sok. No.45;(232) 3767450;-;info@bakambalaj.com.tr;35620
449;427;Erak Giyim San. ve Tic. A.Ş.;2023;3.284.174.624;437;3.513.319.986;443;431;867.087.105;374;362;547.403.786;478;465;1.986.388.283;477;464;185.924.378;334;324;405.618.130;419;408;47.196;312;307;1.430;163;152;İstanbul Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.erak.com;İstanbul;Zeytinburnu;Maltepe Mah. Fatih Şehitleri Sok. No.5 Topkapı;(212) 4671890;(212) 4671800;info@erak.com;34020
450;-;Rollmech Automotive San. ve Tic. A.Ş.;2023;3.265.368.583;438;3.569.991.164;439;427;-;-;-;-;-;-;4.100.250.386;376;363;-;-;-;-;-;-;30.531;352;347;-;-;-;Bursa Ticaret ve Sanayi Odası;-;99,99;0,01;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.rollmech.com;Bursa;Nilüfer;Minareli Çavuş Bursa OSB. Mah. Yeşil Cad. No.15 ;(224) 2437570;(549) 6008257;info@rollmech.com;16159
451;428;Burteks Tekstil San. ve Tic. A.Ş.;2023;3.257.810.680;439;3.456.281.800;448;436;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.617;419;412;908;262;249;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.burteksgroup.com;Gaziantep;Şehitkamil;2. Organize Sanayi Bölgesi 83228 No.lu Cad. No.7 ;(342) 3373340;(530) 2031133;info@burteks.com.tr;27600
452;-;Assan Panel San. ve Tic. A.Ş.;2023;3.243.755.033;440;3.426.523.394;450;438;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;237;464;451;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.assanpanel.com.tr;İstanbul;Tuzla;Yayla Mah. D-100 Karayolu Rüya Sok. No.2 ;(216) 5811700;-;assanpanel@assanpanel.com;34940
453;-;Batısöke Söke Çimento Sanayii T.A.Ş.;2023;3.239.255.531;441;3.305.471.936;466;454;-507.362.982;493;480;4.582.383.664;201;190;9.543.422.782;193;185;-1.313.647.207;473;461;575.127.092;382;371;34.010;340;335;361;413;400;Aydın Sanayi Odası;-;74,62;-;25,38;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.batisoke.com.tr;İzmir;Bornova;Ankara Cad. No.335 ;(232) 4784400;-;info@batisoke.com.tr;-
454;493;Durum Gıda San. ve Tic. A.Ş.;2023;3.234.671.682;442;4.533.988.080;364;353;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Mersin Ticaret ve Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.durum.com.tr;Mersin;Akdeniz;Yeni Mah. Cumhuriyet Bulvarı No.73/4 Kazanlı;(324) 2411111;-;durum@durum.com.tr;33281
455;482;Torun Metal A.Ş.;2023;3.220.274.090;443;3.254.419.076;474;462;1.083.942.575;322;310;1.764.742.502;378;365;3.547.625.750;406;393;-125.290.469;423;411;598.634.625;374;363;118.378;184;181;739;303;290;Kocaeli Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.torunmetal.com;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi İhsan Dede Cad. No.116;(262) 6771500;(262) 6771501;muhasebe@torunmetal.com;41480
456;-;Kenan Metal A.Ş.;2023;3.219.798.718;444;3.310.759.219;465;453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.067;289;285;-;-;-;Çorlu Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.kenanmetal.com;İstanbul;Başakşehir;İOSB Mah. Atatürk Bulvarı No.54;(212) 4856035;(539) 8546416;info@kenanmetal.com;34490
457;-;Krone Ticari Araçlar San. ve Tic. A.Ş.;2023;3.217.295.334;445;3.248.729.805;475;463;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.krone.com.tr;İzmir;Tire;İbni Melek Mah. Tire OSB 2 Sok. No.1;(232) 5101000;(530) 4282402;kta_muhasebe@krone.com.tr;35900
458;379;Pamyağ Gıda San. Tic. A.Ş.;2023;3.209.902.968;446;3.363.172.651;457;445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.belkisyag.com;Gaziantep;Nizip;Sekili Mah. E-90 Karayolu Üzeri No.19/1;(342) 5452020;(342) 0000000;info@pamyag.com;27700
459;361;Enka Süt ve Gıda Mamülleri San. ve Tic. A.Ş.;2023;3.209.179.421;447;3.569.228.701;440;428;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.138;436;429;-;-;-;Konya Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.enkasut.com.tr;Konya;Karatay;Hacı Yusuf Mescit Mah. Pazarcık Sok. No.1;(332) 3552300;(530) 6566090;iletisim@enkasut.com.tr;42030
460;439;Aster Tekstil San. ve Dış Tic. A.Ş.;2023;3.199.849.413;448;3.214.202.389;479;467;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.astertextile.com;İstanbul;Esenyurt;Selahaddin Eyyübi Mah. 1538 Sok. No.43-45;(212) 4213023;(212) 4565600;muhasebe@astertextile.com;34517
461;-;Detay Gıda San. ve Tic. A.Ş.;2023;3.192.581.388;449;3.288.346.462;472;460;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.detaygida.com.tr;İstanbul;Esenyurt;Atatürk Mah. 422. Sok. No.8;(212) 8863137;-;info@detaygida.com.tr;34510
462;-;Hattat Traktör San. ve Tic. A.Ş.;2023;3.180.483.566;450;3.223.717.489;477;465;-;-;-;-;-;-;2.561.504.227;450;437;-;-;-;-;-;-;19.034;388;382;360;415;402;İstanbul Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.hattattraktor.com;Tekirdağ;Çerkezköy;Organize Sanayi Bölgesi Gazi Osman Paşa Mah. 4. Cad. No.6;(212) 2864451;(282) 7581040;muhasebevergi@hattat.com.tr;59500
463;409;Ova Un Fabrikası A.Ş.;2023;3.175.396.969;451;3.175.396.969;485;473;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Konya Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.ovaun.com.tr;Konya;Selçuklu;Aşağıpınarbaşı Mah. Ankara Cad. No.328;(332) 3240389;(332) 3240390;ovaun@ovaun.com.tr;42160
464;269;Eksim Enerji A.Ş.;2023;3.175.270.967;452;3.621.268.482;436;424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.eksimenerji.com.tr;İstanbul;Üsküdar;Fahrettin Kerim Gökay Cad. No.36 Altunizade;(216) 5132400;(216) 5442400;info@eksim.com.tr;34662
465;473;Mikropor Makina San. ve Tic. A.Ş.;2023;3.174.789.381;453;3.303.541.838;468;456;-;-;-;-;-;-;4.306.171.087;363;350;-;-;-;-;-;-;96.519;217;214;1.114;214;202;Ankara Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.mikropor.com.tr;Ankara;Sincan;1. Organize Sanayi Bölgesi Oğuz Cad. No.5;(312) 2670700;(312) 2670550;mikropor@mikropor.com.tr;06935
466;380;Vatan Plastik San. ve Tic. A.Ş.;2023;3.169.658.727;454;3.208.154.428;481;469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.052;290;286;474;383;370;İstanbul Sanayi Odası;-;100,00;-;-;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.vatanplastik.com;İstanbul;Kartal;Orta Mah. Soğanlık D-100 Kuzey Yanyol Cad. No.8;(216) 3772280;(531) 6505762;vatan@vatanplastik.com;34880
467;-;Kartal Halı Tekstil San. ve Tic. A.Ş.;2023;3.156.897.014;455;3.170.140.571;486;474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.sanathali.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83407 No.lu Cad. No.6 ;(342) 3570100;(342) 3570102;info@sanathali.com;27060
468;426;Akcoat İleri Kimyasal Kaplama Malzemeleri San. ve Tic. A.Ş.;2023;3.151.539.887;456;3.217.190.034;478;466;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Sakarya Ticaret ve Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.akcoat.com;Sakarya;Hendek;Kargalı Hanbaba OSB Mah. 1. Sokak No.18 ;(264) 3233031;-;akcoat@akcoat.com;54300
469;434;Atlasdenim Tekstil San. ve Tic. A.Ş.;2023;3.145.345.547;457;3.145.345.547;490;478;583.842.637;427;414;1.480.144.408;395;382;4.141.466.436;370;357;-67.578.439;415;403;531.464.157;392;381;10.028;415;408;1.189;201;190;Adana Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.atlasdenim.com.tr;Adana;Sarıçam;Acıdere OSB Mah. Misis Cad. No.11;(322) 5500500;(322) 5500501;info@atlasdenim.com.tr;01410
470;-;Kalekim Kimyevi Maddeler San. ve Tic. A.Ş.;2023;3.137.090.622;458;3.642.664.058;431;419;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;73,66;-;26,34;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.kalekim.com.tr;İstanbul;Avcılar;Firuzköy Mah. Firuzköy Bulvarı No.188/1;(212) 4230018;-;muhasebe@kalekim.com.tr;34325
471;393;Teverpan MDF Levha San. ve Tic. A.Ş.;2023;3.136.054.635;459;3.155.207.267;489;477;-;-;-;-;-;-;4.902.140.041;334;321;-;-;-;-;-;-;50.464;300;295;645;331;318;İstanbul Sanayi Odası;-;100,00;-;-;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16;Ağaç ve Mantar Ürünleri Sanayi;331;www.teverpan.com;İstanbul;Üsküdar;Küçük Çamlıca Mah. Çilehane Yolu Cad. Camlıca Evleri Sitesi No: 13/4;(216) 3452826;-;teverpan@teverpan.com;34767
472;-;Baştaş Başkent Çimento San. ve Tic. A.Ş.;2023;3.133.481.533;460;3.342.261.037;462;450;1.482.844.654;247;236;5.607.304.305;168;159;6.673.297.021;275;263;467.474.600;245;236;762.214.547;326;315;-;-;-;234;466;453;Ankara Sanayi Odası;-;3,70;87,90;8,40;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.bastas.com.tr;Ankara;Elmadağ;Ankara Samsun Yolu 35. km.;(312) 8640100;(312) 8640101;bastas@vicat.com.tr;06780
473;468;Erkunt Sanayi A.Ş.;2023;3.121.063.390;461;3.177.041.339;484;472;906.636.601;363;351;1.129.776.014;432;419;2.109.755.689;472;459;187.492.478;332;322;291.560.346;456;445;99.236;212;209;1.554;153;142;Ankara Sanayi Odası;-;36,28;63,72;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.erkunt.com.tr;Ankara;Etimesgut;Bahçekapı Mah. Fen İşleri Cad. No.2;(312) 3972500;(312) 3972501;erkunt@erkunt.com.tr;06370
474;-;Unsan Un San. ve Tic. A.Ş.;2023;3.113.115.043;462;4.375.880.690;376;365;387.461.750;457;444;909.470.743;460;447;2.667.392.737;446;433;55.815.578;383;372;322.935.152;441;430;72.584;261;257;176;482;469;Samsun Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.osmanliun.com;Samsun;Tekkeköy;Çiftlik OSB Mah. 2. Cad. No.1/1 Selyeri;(850) 4330055;(362) 2668100;bilgi@osmanliun.com;55300
475;371;Bekaert Çelik Kord San. ve Tic. A.Ş.;2023;3.098.015.273;463;3.683.774.461;427;415;-;-;-;2.842.593.815;294;281;4.319.959.353;362;349;-;-;-;-;-;-;44.166;318;313;467;385;372;Kocaeli Sanayi Odası;-;-;100,00;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.bekaert.com;Kocaeli;İzmit;Alikahya Fatih Mah. Sanayi Cad. No.88;(262) 3168500;(262) 3168606;muhasebe.izmit@bekaert.com;41310
476;-;Tarımkredi Yağ San. ve Tic. A.Ş.;2023;3.089.065.241;464;3.301.386.918;469;457;-;-;-;341.672.552;489;476;4.223.975.875;366;353;-;-;-;511.705.982;397;386;-;-;-;248;461;448;Kırklareli Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tkyag.com.tr;Kırklareli;Merkez;Kavaklı Beldesi Turist Mah. İstihkamtepe Cad. No.10/1 ;(288) 2461802;(288) 2461803;muhasebe.merkez@tarimkrediyag.com.tr;39060
477;431;Europap Tezol Kağıt San. ve Tic. A.Ş.;2023;3.084.816.763;465;3.297.012.734;471;459;871.402.641;372;360;3.170.659.644;265;252;3.894.434.541;385;372;668.008.445;201;194;591.372.023;376;365;50.224;302;297;712;307;294;Ege Bölgesi Sanayi Odası;-;76,00;-;24,00;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.tezol.com.tr;İzmir;Torbalı;7 Eylül Mah. Philsa Cad. No.36;(232) 8531144;(232) 8531797;info@tezol.com.tr;35860
478;-;-;2023;-;466;-;492;480;-;384;371;-;425;412;-;468;455;-;180;173;-;457;446;-;272;268;-;495;482;İstanbul Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;-;-;-;-;-;-;-;-
479;464;Baykan Denim Konfeksiyon A.Ş.;2023;3.070.228.274;467;3.350.769.036;459;447;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130.590;160;157;-;-;-;Malatya Ticaret ve Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.baykandenim.com;İstanbul;Bakırköy;Osmaniye Mah. Osmaniye E-5 Yanyol Sok. No.1/2 ;(212) 8762121;-;info@baykandenim.com;34146
480;407;Tufan Endüstri Demir Çelik San. ve Tic. A.Ş.;2023;3.060.688.415;468;3.213.964.948;480;468;403.099.795;454;441;370.754.284;487;474;1.203.594.378;498;485;64.284.729;381;370;62.259.928;486;474;19.994;386;380;123;489;476;Dörtyol Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.tufanendustri.com;Hatay;Dörtyol;Organize Sanayi Bölgesi Haddeciler Cad. No.3;(507) 1252031;(326) 7558732;tufan@tufanendustri.com;31900
481;494;Sarıgözoğlu Hidrolik Makina ve Kalıp San. ve Tic. A.Ş.;2023;3.050.760.147;469;3.094.487.599;496;484;-;-;-;2.486.285.902;322;309;6.139.512.549;289;277;-;-;-;-;-;-;13.948;406;400;1.200;199;188;Manisa Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.sarigozoglu.com.tr;Manisa;Yunusemre;OSB Kısım Mustafa Kemal Bulvarı No.7 Merkez Fabrika;(236) 2337050;(236) 2337047;info@sarigozoglu.com.tr;45030
482;-;Lider Petfood Yem San. ve Tic. A.Ş.;2023;3.044.416.545;470;3.167.937.742;487;475;-;-;-;-;-;-;1.706.627.274;493;480;-;-;-;-;-;-;53.496;294;289;329;429;416;Salihli Ticaret ve Sanayi Odası;-;49,99;50,01;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.liderpet.com.tr;Manisa;Salihli;Salihli Organize Sanayi Bölgesı 302. Cad. Torunlu Mah. No.27;(533) 3263663;(533) 3730445;info@liderpet.com.tr;45300
483;-;Della Gıda San. ve Tic. A.Ş.;2023;3.044.322.998;471;3.078.371.543;498;486;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.861;417;410;636;334;321;İstanbul Sanayi Odası;-;-;100,00;-;İçeceklerin imalatı;11;İçki Sanayi (Alkollü ve Alkolsüz);313;www.della.com.tr;İstanbul;Üsküdar;Altunizade Mah. Ord. Prof. Fahrettin Kerim Gökay Cad. No.38/1;(264) 4150000;-;muhasebe@della.com.tr;34662
484;270;Hektaş Ticaret T.A.Ş.;2023;3.042.630.066;472;4.059.188.746;398;387;949.790.613;352;340;6.171.833.696;157;148;19.916.467.239;96;90;-766.309.162;461;449;-44.012.101;491;479;7.222;425;418;653;326;313;Kocaeli Sanayi Odası;-;55,37;-;44,63;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.hektas.com.tr;Kocaeli;Gebze;Gebze OSB Mah. 700. Sokak No.711/1;(262) 7511412;-;accounting@hektas.com.tr;41400
485;394;Nikel Paslanmaz Çelik San. ve Tic. A.Ş.;2023;3.041.315.623;473;3.156.326.843;488;476;382.954.630;458;445;903.704.018;461;448;1.829.832.856;489;476;2.386.159;403;391;329.549.507;436;425;62.810;279;275;118;492;479;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.nikelpaslanmaz.com;İstanbul;Sancaktepe;Emek Mah. Nato Yolu Cad. No.319;(216) 5403400;(216) 5403403;info@nikel.com.tr;34776
486;413;ERBOSAN Erciyas Boru San. ve Tic. A.Ş.;2023;3.036.422.344;474;3.079.253.788;497;485;578.887.067;428;415;1.514.782.412;392;379;2.517.799.565;452;439;411.027.247;264;255;433.168.316;410;399;57.545;287;283;297;444;431;Kayseri Sanayi Odası;-;-;-;100,00;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.erbosan.com.tr;Kayseri;Melikgazi;Anbar Mah. 895. Sok. No.9;(352) 3113511;-;muhasebe@erbosan.com.tr;38070
487;476;Çağ Çelik Demir ve Çelik Endüstri A.Ş.;2023;3.034.243.365;475;3.257.823.874;473;461;335.919.315;463;450;1.412.720.920;399;386;4.378.772.504;360;347;-350.307.131;446;434;420.634.400;415;404;73.375;259;255;348;419;406;Karabük Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.cagcelik.com.tr;İstanbul;Sancaktepe;Emek Mah. Nato Yolu Cad. No.286 Esenşehir;(216) 4203851;(370) 4338000;muhasebe@cagcelik.com.tr;34785
